Gene baseMean log2FoldChange lfcSE stat pvalue padj Contrast
Prkci Prkci 4241.65151309853 -0.418072857443125 0.129275054866138 -3.23397934641012 0.00122078283557859 0.0125397331407215 SomAD
Fam60a1 Fam60a 3814.12368974126 -0.44256955008276 0.128672150893338 -3.43951311150168 0.000582761555590131 0.00669719317736282 SomAD
Mnat1 Mnat1 1605.96810848153 -0.453438048478322 0.130960852452002 -3.46239383746002 0.00053539308505444 0.00623833928224253 SomAD
Cxadr Cxadr 1937.86406301316 -0.613800865031822 0.19734510400339 -3.11029183182208 0.00186902584816641 0.0180208483476549 SomAD
Ccng1 Ccng1 1705.64528120053 -0.788556304392904 0.148279725540357 -5.31803185849764 1.04895705501609e-07 2.89466111451618e-06 SomAD
Sp42 Sp4 771.699116221911 -0.869973827270784 0.190281346539081 -4.57203947257176 4.82999921016573e-06 9.57623492051553e-05 SomAD
Csrp21 Csrp2 3842.34904387543 -1.02144807682573 0.195438499757552 -5.22644247726455 1.72802545374535e-07 4.57497987047227e-06 SomAD
Enc12 Enc1 1267.91814530204 -1.37530698170674 0.158005311708856 -8.70418194700258 3.19873533639875e-18 3.77966002232459e-16 SomAD
Sall42 Sall4 2316.58515073442 -1.41002612568956 0.135216540463837 -10.4279115620967 1.8490767525326e-25 4.34064604067854e-23 SomAD
Slco5a12 Slco5a1 123.575673572821 -1.51162195926552 0.245856206281948 -6.14839861936205 7.8269129221846e-10 3.00961243496452e-08 SomAD
Rspo32 Rspo3 898.204742938574 -2.08172137167798 0.19959494064885 -10.4297301570403 1.81402720320649e-25 4.31591391076398e-23 SomAD
Btg22 Btg2 742.984423599316 -2.49871933503443 0.212122924911243 -11.7795817499686 4.97392633789352e-32 1.68405667509526e-29 SomAD
Sp82 Sp8 207.753915387141 -2.90253138997059 0.21836178895732 -13.292304499932 2.56553184263931e-40 1.61316977219671e-37 SomAD
Pcdh82 Pcdh8 628.475160881769 -4.1557302055452 0.40474920103343 -10.2674204048693 9.88114587577765e-25 2.17459317861177e-22 SomAD
Ptn2 Ptn 3732.86474286495 1.12975986578428 0.17733210957391 6.37087027554592 1.8795857495612e-10 2.7124579267848e-08 SomBD
Lgals12 Lgals1 1508.92486970928 0.835754376944596 0.192666005006119 4.33784038298845 1.4388958854434e-05 0.000627059429681101 SomBD
Vcan Vcan 10347.9627649653 0.796367247508681 0.14578891788748 5.46246764876408 4.69561125756333e-08 4.23953496413641e-06 SomBD
Bmp71 Bmp7 451.697417752316 0.78572943790133 0.161099548228107 4.87729138004029 1.07552501704581e-06 6.66749769370018e-05 SomBD
Noc2l Noc2l 5240.40061550072 -0.217939866944528 0.0658757172051518 -3.30834905775393 0.000938477589344238 0.0187546384086205 SomBD
Dad11 Dad1 1398.08389248219 -0.319804232203545 0.0861355315353683 -3.71280267855815 0.000204976696194268 0.00556916622406834 SomBD
Prkci1 Prkci 4241.65151309853 -0.501796997240314 0.120065398361044 -4.17936394739958 2.92325541071954e-05 0.00113864678675062 SomBD
Btg23 Btg2 742.984423599316 -0.658730703526103 0.201060115868505 -3.27628729686459 0.0010518150655398 0.020690788875859 SomBD
Enc13 Enc1 1267.91814530204 -0.774189384292667 0.147879113533026 -5.23528553692451 1.64729999544432e-07 1.27552772415842e-05 SomBD
Ccng11 Ccng1 1705.64528120053 -0.883715427539825 0.137933879279756 -6.40680471073738 1.4860095860401e-10 2.19854493880857e-08 SomBD
Sp83 Sp8 207.753915387141 -1.19526040138511 0.214827200964377 -5.56382243970729 2.63928501040597e-08 2.553145708418e-06 SomBD
Bmp72 Bmp7 451.697417752316 0.619976574920474 0.16031048958465 3.86734877129238 0.000110025016728749 0.0098874233350724 SomCD
Ptn3 Ptn 3732.86474286495 0.602565127959661 0.17716436945819 3.40116429619819 0.000670994867614386 0.0401820940109486 SomCD
Vcan1 Vcan 10347.9627649653 0.553106295255014 0.145738716752611 3.79519119956232 0.000147529717219 0.0126087776764938 SomCD
Ccng12 Ccng1 1705.64528120053 -0.462875971591345 0.138251635319685 -3.34806869026191 0.000813768388960307 0.0469975735262119 SomCD
